First Name,Last Name,Email,Phone,Gender,Age,Job Title,Years Of Experience,Salary,Department,Tax
Jose,Lopez,joselopez0944@slingacademy.com,+1-971-533-4552x1542,male,25,Project Manager,1,8500,Product,850.0
Diane,Carter,dianecarter1228@slingacademy.com,881.633.0107,female,26,Machine Learning Engineer,2,7000,Product,700.0
Shawn,Foster,shawnfoster2695@slingacademy.com,001-966-861-0065x493,male,37,Project Manager,14,17000,Product,1700.0
Brenda,Fisher,brendafisher3185@slingacademy.com,001-574-564-4648,female,31,Web Developer,8,10000,Product,1000.0
Sean,Hunter,seanhunter4753@slingacademy.com,5838355842,male,35,Project Manager,11,14500,Product,1450.0
Joshua,Jacobs,joshuajacobs5904@slingacademy.com,053-913-2609,male,28,Project Manager,3,10500,Product,1050.0
Brianna,Marshall,briannamarshall6438@slingacademy.com,701-932-8553,female,33,Machine Learning Engineer,10,11000,Product,1100.0
John,Tate,johntate7881@slingacademy.com,001-889-992-5260x62725,male,33,Mobile Developer,10,11000,Product,1100.0
Jillian,Byrd,jillianbyrd8170@slingacademy.com,077-635-0084x1647,female,34,Web Developer,10,11000,Product,1100.0
Melanie,Sharp,melaniesharp9256@slingacademy.com,(848)212-0230,female,41,Web Developer,15,14500,Product,1450.0
Brandy,Mckee,brandymckee10500@slingacademy.com,001-085-315-6112x464,female,37,Web Developer,14,14000,Product,1400.0
Robert,Simpson,robertsimpson11778@slingacademy.com,496-469-5331x659,male,36,DevOps Engineer,12,15000,Product,1500.0
George,Mckenzie,georgemckenzie12384@slingacademy.com,(843)416-2489,male,28,Machine Learning Engineer,4,10000,Product,1000.0
Joseph,Smith,josephsmith13724@slingacademy.com,+1-380-230-4166,male,40,Machine Learning Engineer,14,14000,Product,1400.0
Dana,Crawford,danacrawford14310@slingacademy.com,(848)716-0019x0240,female,32,Project Manager,8,12000,Product,1200.0
Christopher,Benson,christopherbenson15937@slingacademy.com,+1-368-801-2914x8616,male,29,Web Developer,5,7500,Product,750.0
Nicole,Smith,nicolesmith16360@slingacademy.com,289.372.5080x2156,female,26,Designer,4,10000,Product,1000.0
Peter,Jimenez,peterjimenez17791@slingacademy.com,001-535-827-3787x317,male,28,Mobile Developer,3,6500,Product,650.0
Sergio,Boyle,sergioboyle18425@slingacademy.com,3027626274,male,31,Tester,6,9000,Product,900.0
Brianna,Moss,briannamoss19517@slingacademy.com,+1-529-287-4857x163,female,31,Designer,5,10500,Product,1050.0
Taylor,Garner,taylorgarner20196@slingacademy.com,931-244-1612x38767,female,32,Machine Learning Engineer,6,11000,Product,1100.0
Michael,Padilla,michaelpadilla21381@slingacademy.com,(787)446-1738,male,29,Tester,5,9500,Product,950.0
Yvette,Walker,yvettewalker22744@slingacademy.com,154-489-0248,female,26,Designer,2,7000,Product,700.0
Kristina,Pena,kristinapena23750@slingacademy.com,+1-099-174-5458x294,female,34,DevOps Engineer,11,12500,Product,1250.0
Vanessa,Reynolds,vanessareynolds24710@slingacademy.com,+1-357-911-9617x44729,female,36,Machine Learning Engineer,10,13000,Product,1300.0
Robert,Suarez,robertsuarez25924@slingacademy.com,+1-121-053-2698x314,male,33,Tester,9,9500,Product,950.0
Tammy,Ellis,tammyellis26570@slingacademy.com,029.476.5817x88014,female,37,HR Manager,14,14000,Human Resource,1400.0
Rodney,Porter,rodneyporter27496@slingacademy.com,+1-508-187-4826,male,28,DevOps Engineer,3,9500,Product,950.0
David,Reyes,davidreyes28592@slingacademy.com,(725)355-0896x3876,male,25,Designer,2,7000,Product,700.0
